County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Madison,Cazenovia WINTER Farmers' Market,American Legion Hall 26 Chenango St,26 Chenango Street,Cazenovia,NY,13035,Tricia Park,3157202141,,1st&3rd Saturdays  10am-3pm,Year-round,YR,N,N,N,Y,42.92467,-75.85168,"(42.92467, -75.85168)"
Monroe,Curbside Market-Kennedy Towers,666 South Plymouth Ave. Rochester,666 South Plymouth Ave,Rochester,NY,14608,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Mon 3:30pm-4:30pm,May 31-November 22,M,Y,Y,N,Y,43.14251,-77.61894,"(43.14251, -77.61894)"
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse TBD)",170 State St,Albany,NY,12210,Nicholas DeBlois,5184863966,https://empirestateplaza.ny.gov/empire-state-plaza-farmers-market,Wednesday  10am-2pm,Year-round,YR,Y,Y,N,Y,42.65068,-73.758,"(42.65068, -73.758)"
Orange,Kirby Farm Hemlock Grove Farm Stand,25 Kinne Lane Middletown,25 Kinne Lane,Middletown,NY,10940,Charles F. Kirby,8453552718,,Daily  8am-6pm,Year-round,YR,Y,N,N,Y,41.40479,-74.50332,"(41.40479, -74.50332)"
Cortland,Virgil Farmers' Market,"Hollenbecks Cider Mill, 1265 NY Rte 392 Cortland",1266 State Route 392,Virgil,NY,13045,Sara Sirois,5088643715,,Saturday  9am-1pm,June 5-October 30,M,Y,N,N,Y,42.51058,-76.19184,"(42.51058, -76.19184)"
Kings,Grand Army Plaza Greenmarket,Flatbush Ave. & Prospect Park West,Flatbush Ave and Grand Army Plaza,Brooklyn,NY,11238,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Saturday  8am-4pm,Year-round,YR,Y,Y,N,Y,40.67412,-73.9695,"(40.67412, -73.9695)"
New York,Harvest Home East Harlem Farmers' Market,E 104th St. & Third Ave.,East 104th St and Third Ave,New York,NY,10029,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,July 8-November 18,M,Y,Y,N,Y,40.79024,-73.94564,"(40.79024, -73.94564)"
Ontario,Curbside Market-Elmcrest Apts,99 Lewis St. Geneva,99 Lewis St.,Geneva,NY,14456,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Fri 2:30pm-3:30pm,June 4-November 26,M,Y,Y,N,Y,42.87091,-76.9846,"(42.87091, -76.9846)"
Westchester,Larchmont Farmers' Market,"122 Myrtle Blvd. , Metro North lot off Chatsworth Ave.",Metro-North parking deck off Chatsworth Avenue,Larchmont,NY,10538,Mahalia Dees,9149234837,http://www.downtoearthmarkets.com,Saturday  8:30am-1pm,April 24-December 18,P/M/X,Y,Y,Y,Y,40.93322,-73.75951,"(40.93322, -73.75951)"
Rensselaer,Veggie Mobile Sprout-Barker Park,Corner 3rd & State St. Troy,3rd and State St.,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11:30am-12pm,Year-round,YR,Y,Y,Y,Y,42.73006,-73.69055,"(42.73006, -73.69055)"
Tompkins,Dryden Farmers' Market,"Dryden Agway Hardware Store, 59 West Main St.",59 West Main St.,Dryden,NY,13053,Kelly Ritter,6078448663,,Saturday  9am-1pm,June 12 - September 25,M,Y,N,N,Y,42.49034,-76.30358,"(42.49034, -76.30358)"
Lewis,Lewis Co. General Hospital Farmers' Market,"7785 N. State St.  Lowville, Children's Clinic  parking lot",7785 North State St,Lowville,NY,13367,Darcy Zehr,3153765225,http://www.lcgh.net,Thursday  11am-3pm,June 10-October 5,M,Y,N,N,Y,43.79599,-75.49832,"(43.79599, -75.49832)"
Fulton,Johnstown Farmers' Market,"Shirley J Luck Senior Center, 109 E. Main St. Johnstown",109 E. Main Street,Johnstown,NY,12095,Michael Tillson,5188829306,http://www.fmfma.org,Tuesday  3pm-6pm,June 29-October 16,M,Y,N,N,Y,43.00636,-74.37421,"(43.00636, -74.37421)"
Suffolk,Wyandanch Plaza Farmers' Market,Delano Stewart Plaza at Wyandanch Village,Delano Stewart Plana at Wyandanch Village,Wyandanch,NY,11798,Kerry Gillick-Goldberg,5164553179,http://wyandanchplaza.org,Saturday  1pm-4pm,July 10-October 19,M,Y,N,N,Y,40.75205,-73.36441,"(40.75205, -73.36441)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Sunday  9am-4pm, Mon-Sat 9am-6pm",Year-round,YR,Y,N,N,Y,42.71055,-73.92593,"(42.71055, -73.92593)"
New York,Morningside Park Farmers' Market,265 Manhattan Ave. @W 110th St. Manhattan,265 Manhattan Ave.,New York,NY,10025,Mahalia Dees,9149234837,http://www.downtoearthmarkets.com,Saturday 10am-3pm,May15-December 18,P/M/X,Y,Y,N,Y,40.80173,-73.95915,"(40.80173, -73.95915)"
New York,Lower East Side  GrowNYC Farm Stand,Grand Ave. btwn Pitt & Willett Sts.,Grand St and Pitt St,New York,NY,10002,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Thursday  8am-3pm,July 8-November 25,M,Y,Y,N,Y,40.71523,-73.9843,"(40.71523, -73.9843)"
Bronx,Riverdale Y Sunday Farmers' Market,4545 Independence Ave. Bronx,649 W 237th St,Bronx,NY,10463,Shira Silverman,7188771270,,Sunday  9am-2pm,April 11-December 19,P/M/X,Y,N,N,Y,40.888442,-73.912784,"(40.888442, -73.912784)"
Saratoga,Arnolds Farm Fresh Produce Farm Stand,1319 Sacandaga Rd. West Charlton,1319 Sacandaga Rd,West Charlton,NY,12010,Jason Arnold,5182699562,http://www.arnoldsproduce.com,"Daily 10am-6pm, Fri  10am-7pm",June 1-November 24,M,Y,N,N,Y,42.96962,-74.02911,"(42.96962, -74.02911)"
Schenectady,Schenectady Greenmarket,Franklin St and Jay St. near City Hall,Franklin St and Jay St,Schenectady,NY,12305,Cheryl Whilby,5189860318,http://www.schenectadygreenmarket.org,Sunday  10am-2pm,April 11-November 28,P/M,Y,Y,Y,Y,42.81372,-73.94015,"(42.81372, -73.94015)"
Dutchess,Z Farms Farm Stand,355 Poplar Hill Rd.  Dover Plains,355 Poplar Hill Road,Dover Plains,NY,12522,Zachary Elwood,8456254798,http://www.zfarmsorganic.com,"Daily 10am-6pm, closed Wednesday",Year-round,YR,N,Y,N,Y,41.75631,-73.55278,"(41.75631, -73.55278)"
Queens,Queens County Farm Museum-Borough Hall,120-55 Queens Boulevard,120-55 Queens Boulevard,Queens,NY,11424,Anne Mastrogiacomo,7183473276,http://www.queensfarm.org,Thursday  10am-3pm,July 1-November 4,M,Y,N,N,Y,40.71395,-73.82972,"(40.71395, -73.82972)"
Oswego,Grindstone Farm Stand,780 County Route 28,780 County Route 28,Pulaski,NY,13142,Ella Gibbs,3152984139,,Friday 11am-5pm,Year-round,YR,Y,Y,N,Y,43.50657,-76.10799,"(43.50657, -76.10799)"
Montgomery,Damin Farm Stand,8075 State Highway 5 St. Johnsville,8075 State Highway 5,St. Johnsville,NY,13452,Barb Damin,5185682643,,Daily  9am-6pm,Year-round,YR,Y,Y,N,Y,43.00497,-74.72233,"(43.00497, -74.72233)"
Saratoga,Gansevoort Farmers' Market,Gansevoort Village Park Catherine St.,Main St. at Catherine St.,Gansevoort,NY,12831,Linda Gifford,5187961686,,Tuesday  3pm-6pm,June 15-October 26,M,Y,N,N,Y,43.19612,-73.65167,"(43.19612, -73.65167)"
Erie,Clinton Bailey Thurs Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Thurday  4am-5pm,May 1-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Yates,Tomion's Farm Market,200 Route 14 A  Penn Yan,200 Route 14A,Penn Yan,NY,14527,Alan & Crystal Tomion,5853702061,http://www.tomionsfarmmarket.com,"Mon-Sat  9am-5pm, Sun  9am-4pm",May 17-October 31,P/M,Y,Y,N,Y,42.75335,-77.06852,"(42.75335, -77.06852)"
Erie,MAP Mobile Market-Neighboorhood Health Center NW,155 Lawn Ave Buffalo,155 Lawn Ave,Buffalo,NY,14207,Danielle Rovillo,7168825327,http://www.mass-ave.org,Wednesday 10am-12pm,June 2-October 27,M,Y,Y,N,Y,42.9506,-78.8895,"(42.9506, -78.8895)"
Niagara,Human Farms & Greenhouse,2853 Hess Rd. Appleton,2853 Hess Rd,Appleton,NY,14008,JoMarie Human,7165312820,,Daily 9am-6pm,June 1-December 31,M/X,Y,Y,N,Y,43.27537,-78.64954,"(43.27537, -78.64954)"
Franklin,JCEO MM-Alice Center,45 6th St Malone,45 6th St,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Wednesday 10am-11am,June 2-September 29,M,Y,Y,N,Y,44.86017,-74.29201,"(44.86017, -74.29201)"
Oneida,City of Utica Farmers' Market,Chancellor Park Elizabeth St.,Bleeker St and 1st St,Utica,NY,13501,Lori Babiarz,3152233973,,Wednesday  8am-5pm,June 30-October 27,M,Y,Y,Y,Y,43.10043,-75.22483,"(43.10043, -75.22483)"
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,Y,Y,Y,Y,42.66215,-73.74859,"(42.66215, -73.74859)"
Monroe,Curbside Market-Beechwood Neighborhood,441 Parsells Ave Rochester,441 Parsells Ave,Rochester,NY,14609,Camille Verbofsky,5854135077,http://www.foodlinkny.org,"Thu 3pm-4pm, closed July 1",June 3-November 25,M,Y,Y,N,Y,43.1658,-77.56665,"(43.1658, -77.56665)"
Monroe,Curbside Market-Fairport Apartments,1030 Whitney Road E Fairport,1030 Whitney Road E,Fairport,NY,14450,Camille Verbofsky,5854135077,http://www.foodlinkny.org,"Thu 10:45am-12pm, closed July 1",June 3-November 25,M,Y,Y,N,Y,43.10913,-77.43938,"(43.10913, -77.43938)"
Monroe,Curbside Market-The Hamilton Apts,185 Mt. Hope Ave. Rochester,185 Mount Hope Avenue,Rochester,NY,14620,Camille Verbofsky,5854135077,http://www.foodlinkny.org,"Sat 10:15am-11:15am, closed June 19, July 3 & Sept 4",June 5-November 27,M,Y,Y,N,Y,43.14573,-77.61013,"(43.14573, -77.61013)"
Seneca,Seneca Falls Farmers' Market,People's Park  15 Water St.,Water St and Bridge St,Seneca Falls,NY,13148,Gregg Zellers,3153384359,http://www.senecamarket.com,Tuesday  3pm-7pm,June 15-October 12,M,Y,Y,Y,Y,42.91008,-76.80086,"(42.91008, -76.80086)"
Onondaga,Syracuse Eastside Neighborhood Market,Westcott Community Ctr 826 Euclid Ave,826 Euclid Ave,Syracuse,NY,13210,Jake Losowski,3154788634,https://westcottcc.org/syracuse-eastside-farmers-market,Wednesday  2pm-6pm,June 2-October 27,M,Y,N,N,Y,43.03662,-76.1192,"(43.03662, -76.1192)"
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,1130 Grand Concourse,Bronx,NY,10456,Rachel Gill,7185083156,,Thursday  10am-4pm,July 9-November 18,M,Y,N,N,Y,40.83256,-73.9192,"(40.83256, -73.9192)"
Albany,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave.",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,,Wed  3:30pm-6:30pm,June 16-September 29,M,Y,N,N,Y,42.64892,-73.92991,"(42.64892, -73.92991)"
Westchester,Fable: From Farm to Table Farm Stand,1311 Kitchawan Rd.  Ossining,1311 Kitchawan Road,Ossining,NY,10562,Tom Deacon,9148620205,http://www.fablefoods.com,Fri/Sat/Sun  11am-3pm,year-round,YR,N,N,N,Y,41.21059,-73.81496,"(41.21059, -73.81496)"
Kings,Park Slope Farmers' Market,289 4th Street at 5th Ave.  near PS 51 Brooklyn,289 4th Street,Brooklyn,NY,11215,Mahalia Dees,9149234837,http://www.downtoearthmarkets.com,Sunday 10am-3pm,May 16-December 19,P/M/X,Y,Y,N,Y,40.6722,-73.98379,"(40.6722, -73.98379)"
New York,Rockefeller Center Fri Greenmarket,Rockefeller Plaza at 50th St.,Rockefeller Plaza and West 50th St,New York,NY,10112,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-5pm,July 23-August 27,M,Y,Y,N,Y,40.75914,-73.97873,"(40.75914, -73.97873)"
Bronx,Norwood GrowNYC Farm Stand,E Gun Hill Rd. & Dekalb Ave.,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Thursday  8:30am-4pm,Year-round,YR,Y,Y,N,Y,40.88223,-73.88048,"(40.88223, -73.88048)"
Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,YR,Y,Y,Y,Y,42.6629,-73.76094,"(42.6629, -73.76094)"
St. Lawrence,Circle G Farm Farm Stand,705 CR 7 at Turner Rd. Hammond,705 County Route 7,Hammond,NY,13646,George Blatchley,3155782419,,Sunday  1pm-5pm,June 6-October 3,M,Y,N,N,Y,44.47353,-75.55463,"(44.47353, -75.55463)"
Franklin,JCEO MM-Akwesasne Generations Park,30 Margaret Margaret Terrace Memorial Way Generations Park Akwesasne (Hogansburg),Margaret Terrace Memorial Way,Hogansburg,NY,12195,Richard LaVigne,5183194028,http://www.jceo.org,Thu 11:45am-2pm,June 3-September 30,M,Y,Y,N,Y,44.98041,-74.66642,"(44.98041, -74.66642)"
New York,Columbia Sun Greenmarket,2910 Broadway btwn W114th & W115th Sts.,Broadway and West 115th St,New York,NY,10027,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sunday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.8073,-73.9643,"(40.8073, -73.9643)"
Queens,Sunnyside Greenmarket,41-15 Skillman Ave. at 42nd St,Skillman Ave and 42nd St,Sunnyside,NY,11104,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/sunnyside,Saturday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.74694,-73.92139,"(40.74694, -73.92139)"
Columbia,Martin's Farm Fresh Farm Stand,820 State Route 66 Hudson,820 State Route 66,Hudson,NY,12534,Adam Martin,5188288781,,Mon-Sat  9am-5pm,May 25-November 1,P/M,Y,N,N,Y,42.27318,-73.72226,"(42.27318, -73.72226)"
Suffolk,Flanders Farm Fresh Food Market,"Crohan Community Senior Center, 655 Flanders Road (Rt 24) Flanders",655 Flanders Rd,Flanders,NY,11901,Nancy Lynott,6317022417,http://www.southamptontownny.gov,Saturday  10am-1pm,July 10-October 23,M,Y,Y,N,Y,40.90952,-72.63662,"(40.90952, -72.63662)"
Tompkins,Ithaca Farmers' Market (Steamboat Sat),"Steamboat Landing, 545 Third St. Extension off Rt. 13",545 Third Street,Ithaca,NY,14850,Kelly Sauve,6072737109,http://www.ithacamarket.com,"Saturday  9am-3pm, hours change 11/6",April 3-December 18,P/M/X,Y,Y,Y,Y,42.44958,-76.50785,"(42.44958, -76.50785)"
Delaware,Pakatakan Farmers' Market,"Round Barn of Halcottville, 46676 State Hwy 30",46676 State Highway 30,Halcottville,NY,12438,Tanya Moyer,5186734242,,Saturday  9am-1pm,May 15-November 27,P/M,Y,N,N,Y,42.20103,-74.59909,"(42.20103, -74.59909)"
Nassau,Cedarmore Farmers Market-Baldwin LIRR,"Baldwin Train Station Parking Lot #BA 12 , btwn Milburn & Brookside Ave.",Lot #BA12 Sunrise Hwy,Baldwin,NY,115510,Debra Wheat-Williams,5163783415,http://www.freeportfarmersmarket.org/,Sat  11:30am-3:30pm,July 17-October 30,M,Y,Y,N,Y,40.6566,-73.6221,"(40.6566, -73.6221)"
Nassau,The Napolitano Family Farm Stand,3434 Hempstead Turnpike Levittown,3434 Hempstead Turnpike,Levittown,NY,11756,Daniel Napolitano,6462834682,http://www.napolitanofamilyfarm.com,Saturday 10am-2pm,June 5-October 30,M,Y,N,N,Y,40.72556,-73.50916,"(40.72556, -73.50916)"
Franklin,JCEO MM-Trails at Malone,156 Falling Leave Dr. Malone,166 Falling Leave Dr.,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Wednesday 10am-12pm,June 2-September 29,M,Y,Y,N,Y,44.83505,-74.2986,"(44.83505, -74.2986)"
Saratoga,Saratoga Farmers' Market-Saturday,"Wilton Mall (Bon-ton Parking lot), 3065 NY-50 Wilton",3065 Route 50,Wilton,NY,12866,Emily Meagher,5187083698,http://www.saratogafarmersmarket.org,Saturday  9am-1pm,Year-round,YR,Y,Y,Y,Y,43.1054,-73.74047,"(43.1054, -73.74047)"
Orange,Warwick Valley Farmers' Market,"South St. parking lot, In the Historic Village",South St and Bank St,Warwick,NY,10990,Cheryl Rogowski,8457720305,http://www.warwickvalleyfarmersmarket.org,Sunday  9am-2pm,May 9-November 21,P/M,Y,Y,N,Y,41.25656,-74.35858,"(41.25656, -74.35858)"
Erie,Downtown Buffalo Country Thursday Market,350 Main St. outside btwn Court & Church Streets,350 Main St. outside btwn Court & Church Streets,Buffalo,NY,14203,Taylor Potenza,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thursday  10am-2:30pm,May 13-October 21,P/M,Y,Y,N,Y,42.8844,-78.8754,"(42.8844, -78.8754)"
Schoharie,Barber Family Farm Stand,3617 State Route 30 Middleburgh,3617 State Route 30,Fulton,NY,12122,Sarah Hooper,5188275454,http://www.barbersfarm.com,"Wed-Sun 9am-5:30pm, Winter hours change",Year-round,YR,Y,Y,N,Y,42.58123,-74.39189,"(42.58123, -74.39189)"
Washington,Granville Rt. 22 Farmers' Market,88 Quaker St. Moutain View Commons,88 Quaker St,Granville,NY,12832,Cyd Groff,5186421653,,Monday  2pm-5pm,June 7-October 18,M,Y,N,N,Y,43.39845,-73.2658,"(43.39845, -73.2658)"
Franklin,JCEO MM-Franklin Co Courthouse,355 W Main St.  Malone,355 W Main St.,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Tue  12pm-2pm,June 1-September 28,M,Y,Y,N,Y,44.84882,-74.29518,"(44.84882, -74.29518)"
Albany,Veggie Mobile-North Albany YMCA,616 N. Pearl St. Albany,616 North Pearl Street,Albany,NY,12204,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,YR,Y,Y,Y,Y,42.67368,-73.73953,"(42.67368, -73.73953)"
Oneida,Vienna Farmers' Market,7812 State Rte 13  Blossvale,7812 State Rte 13,Blossvale,NY,13471,Jessica Johnson-Travers,3158866824,http://www.vfm-ny.com,Thursday  3pm-6:30pm,May 27-October 7,P/M,Y,Y,Y,Y,43.24004,-75.70196,"(43.24004, -75.70196)"
Bronx,La Familia Verde Farmers' Market,"Tremont Park on Tremont Ave., btwn LaFontaine & Arthur Aves.",East Tremont Ave and Arthur Ave,Bronx,NY,10457,Aleyna Rodriguez,7185831765,http://www.lafamiliaverde.org,Tuesday  8am-2pm,July 13-November 16,M,Y,N,N,Y,40.84643,-73.89334,"(40.84643, -73.89334)"
